TRANSACTION_ID,DATE,ACTION,TICKER,PRICE,SHARES,LOT_ID
B000001,2024-03-03,BUY,BTC-USD,62520.27,0.00039759,
B000002,2024-03-04,BUY,BTC-USD,67225.41,0.0003719,
B000003,2024-03-11,BUY,BTC-USD,72728.1,0.00034374,
B000004,2024-03-18,BUY,BTC-USD,67614.81,0.0003706,
B000005,2024-03-25,BUY,BTC-USD,69046.35,0.00036181,
B000006,2024-04-01,BUY,BTC-USD,69759.4,0.00035833,
B000007,2024-04-08,BUY,BTC-USD,71850.47,0.00034821,
B000008,2024-04-15,BUY,BTC-USD,66452.95,0.00037599,
B000009,2024-04-22,BUY,BTC-USD,66191.71,0.00037782,
B000010,2024-04-29,BUY,BTC-USD,62973.91,0.00039699,
B000011,2024-05-06,BUY,BTC-USD,63813.42,0.00039165,
B000012,2024-05-13,BUY,BTC-USD,63191.4,0.000397,
B000013,2024-05-20,BUY,BTC-USD,67368.68,0.00037298,
B000014,2024-05-28,BUY,BTC-USD,68401.62,0.00036519,
B000015,2024-06-03,BUY,BTC-USD,69739.95,0.00035838,
B000016,2024-06-10,BUY,BTC-USD,69722.37,0.00035865,
B000017,2024-06-17,BUY,BTC-USD,65828.68,0.00037976,
B000018,2024-06-24,BUY,BTC-USD,61719.9,0.00040596,
B000019,2024-07-01,BUY,BTC-USD,63022.32,0.00039672,
B000020,2024-07-08,BUY,BTC-USD,56474.02,0.00044265,
B000021,2024-07-15,BUY,BTC-USD,63578.53,0.00039316,
B000022,2024-07-22,BUY,BTC-USD,67043.48,0.00037302,
B000023,2024-07-29,BUY,BTC-USD,68465.45,0.00036494,
B000024,2024-08-05,BUY,BTC-USD,54430.47,0.00045923,
B000025,2024-08-12,BUY,BTC-USD,59995.09,0.00041829,
B000026,2024-08-19,BUY,BTC-USD,58870.3,0.00042651,
B000027,2024-08-26,BUY,BTC-USD,63758.99,0.00039214,
B000028,2024-09-03,BUY,BTC-USD,58015.81,0.00043063,
B000029,2024-09-16,BUY,BTC-USD,58180.49,0.00043082,
B000030,2024-09-23,BUY,BTC-USD,63475.34,0.00039376,
B000031,2024-09-30,BUY,BTC-USD,64105.85,0.00038984,
B000032,2024-10-07,BUY,BTC-USD,64001.87,0.00039061,
B000033,2024-10-14,BUY,BTC-USD,66225.64,0.0003776,
