TRANSACTION_ID,DATE,ACTION,TICKER,PRICE,SHARES,LOT_ID
B000001,2026-03-03,BUY,Flagship,11.80,67.79661,
B000002,2026-03-03,BUY,Income,10.04,19.920319,
B000003,2026-03-23,BUY,Flagship,13.01,6.149116,
B000004,2026-03-23,BUY,Income,10.04,1.992032,
B000005,2026-03-29,BUY,Flagship,12.76,6.29592,
B000006,2026-03-29,BUY,Income,10.08,1.984127,
B000007,2026-04-02,BUY,Income,12.76,0.001567,
B000008,2026-04-05,BUY,Flagship,12.41,6.475423,
B000009,2026-04-05,BUY,Income,10.08,1.948413,
B000010,2026-04-12,BUY,Flagship,12.28,6.514658,
B000011,2026-04-12,BUY,Income,10.07,1.986097,
B000012,2026-04-22,BUY,Flagship,12.71,6.398112,
B000013,2026-04-22,BUY,Income,10.07,1.855015,
B000014,2026-04-26,BUY,Flagship,12.71,6.294256,
B000015,2026-04-26,BUY,Income,10.07,1.986097,
B000016,2026-05-03,BUY,Flagship,14.95,5.402007,
B000017,2026-05-03,BUY,Income,10.10,1.90495,
B000018,2026-05-10,BUY,Flagship,14.32,5.400838,
B000019,2026-05-10,BUY,Income,10.19,2.223749,
B000020,2026-05-17,BUY,Flagship,14.61,4.374401,
B000021,2026-05-17,BUY,Income,10.17,3.548673,
B000022,2026-05-25,BUY,Flagship,13.77,6.189542,
B000023,2026-05-25,BUY,Income,10.28,1.450884,
B000024,2026-05-31,BUY,Income,10.15,2.235468,
B000025,2026-06-07,BUY,Flagship,12.42,8.05152,
B000026,2026-06-14,BUY,Flagship,12.35,7.304453,
B000027,2026-06-14,BUY,Income,10.10,0.969307,
B000028,2026-06-21,BUY,Flagship,12.29,7.228641,
B000029,2026-06-21,BUY,Income,10.10,1.10495,
B000030,2026-06-28,BUY,Flagship,12.40,6.6,
B000031,2026-06-28,BUY,Income,10.13,1.792695,
B000032,2026-07-01,BUY,Flagship,12.27,2933.295029,
B000033,2026-07-01,BUY,Income,10.13,889.286278,
B000034,2026-07-05,BUY,Flagship,12.32,6.383117,
B000035,2026-07-05,BUY,Income,10.13,2.108588,
B000036,2026-07-09,BUY,Income,10.12,0.31917,
B000037,2026-07-13,BUY,Flagship,12.16,0.822368,
B000038,2026-07-24,BUY,Flagship,12.13,6.989283,
B000039,2026-07-24,BUY,Income,10.13,1.502468,
B000040,2026-08-03,BUY,Flagship,11.90,8.403361,
B000041,2026-07-28,BUY,Flagship,11.94,7.073702,
B000042,2026-07-28,BUY,Income,10.12,1.535573,
B000043,2026-08-12,BUY,Flagship,11.90,8.403361,
B000044,2026-08-19,BUY,Flagship,11.92,8.389262,
