TRANSACTION_ID,DATE,ACTION,TICKER,PRICE,SHARES,LOT_ID
B000001,2020-08-17,BUY,TQQQ,32.77,8.0,
B000002,2020-01-21,BUY,TQQQ,91.78,2.0,
B000003,2021-03-08,BUY,TQQQ,41.76,6.0,
B000004,2021-05-04,BUY,TQQQ,49.04,2.0,
B000005,2021-06-09,BUY,TQQQ,53.09,2.0,
B000006,2021-07-09,BUY,TQQQ,63.17,4.0,
B000007,2021-07-13,BUY,TQQQ,66.91,2.0,
B000008,2021-08-17,BUY,TQQQ,66.19,4.0,
B000009,2021-09-09,BUY,TQQQ,75.47,4.0,
B000010,2021-10-13,BUY,TQQQ,62.45,2.0,
B000011,2021-11-22,BUY,TQQQ,88.63,2.0,
B000012,2021-12-15,BUY,TQQQ,75.85,2.0,
B000013,2022-01-13,BUY,TQQQ,72.67,2.0,
B000014,2022-02-07,BUY,TQQQ,57.86,3.0,
B000015,2022-03-08,BUY,TQQQ,41.4,2.0,
B000016,2022-04-14,BUY,TQQQ,47.86,2.0,
B000017,2022-05-03,BUY,TQQQ,38.19,2.0,
B000018,2022-06-03,BUY,TQQQ,32.2,20.0,
B000019,2022-06-17,BUY,TQQQ,22.5,4.0,
B000020,2022-08-12,BUY,TQQQ,37.43,5.0,
B000021,2022-08-23,BUY,TQQQ,32.76,2.0,
B000022,2022-09-12,BUY,TQQQ,30.53,1.0,
B000023,2022-09-28,BUY,TQQQ,21.69,7.0,
B000024,2022-10-28,BUY,TQQQ,21.13,8.0,
B000025,2022-11-10,BUY,TQQQ,20.66,9.0,
B000026,2022-12-19,BUY,TQQQ,19.08,3.0,
B000027,2023-01-09,BUY,TQQQ,18.55,3.0,
B000028,2023-02-02,BUY,TQQQ,25.98,1.0,
B000029,2023-03-03,BUY,TQQQ,23.42,2.0,
B000030,2023-03-06,BUY,TQQQ,24.19,4.0,
B000031,2023-04-04,BUY,TQQQ,27.84,3.017,
B000032,2023-04-28,BUY,TQQQ,27.56,1.164,
B000033,2023-05-22,BUY,TQQQ,32.02,2.541,
B000034,2023-05-26,BUY,TQQQ,34.73,0.651,
B000035,2023-06-08,BUY,TQQQ,35.16,2.342,
B000036,2023-06-16,BUY,TQQQ,41.67,0.321,
B000037,2023-06-28,BUY,TQQQ,39.14,0.427,
B000038,2023-07-11,BUY,TQQQ,39.90,2.19,
B000039,2023-08-03,BUY,TQQQ,42.04,2.877,
B000040,2023-08-18,BUY,TQQQ,36.05,3.069,
B000041,2023-09-15,BUY,TQQQ,39.95,2.127,
B000042,2023-10-10,BUY,TQQQ,38.88,2.862,
B000043,2023-11-07,BUY,TQQQ,38.94,3.432,
B000044,2023-12-04,BUY,TQQQ,42.22,3.978,
B000045,2024-01-02,BUY,TQQQ,47.76,3.56,
B000046,2024-01-23,BUY,TQQQ,54.85,1.025,
B000047,2024-02-01,BUY,TQQQ,54.04,0.944,
B000048,2024-02-09,BUY,TQQQ,59.06,4.097,
B000049,2024-02-13,BUY,TQQQ,56.54,1.541,
B000050,2024-03-04,BUY,TQQQ,62.85,1.274,
B000051,2024-03-05,BUY,TQQQ,59.13,4.81,
B000052,2024-04-01,BUY,TQQQ,62.12,0.578,
B000053,2024-04-12,BUY,TQQQ,58.55,0.97,
B000054,2024-04-22,BUY,TQQQ,50.33,1.523,
B000055,2024-05-13,BUY,TQQQ,59.48,1.163,
B000056,2024-05-21,BUY,TQQQ,64.16,1.784,
B000057,2024-06-13,BUY,TQQQ,73.23,0.752,
B000058,2024-07-03,BUY,TQQQ,78.98,1.288,
B000059,2024-07-05,BUY,TQQQ,81.26,1.083,
B000060,2024-07-22,BUY,TQQQ,74.07,1.346,
