DATE,MAIN,VOO,QQQ
2024-03-03,25.27,0.0,0.0
2024-03-04,52.61,24.87,24.87
2024-03-05,49.13,24.62,24.42
2024-03-06,50.9,24.75,24.58
2024-03-07,51.53,25.0,24.95
2024-03-08,52.59,24.84,24.59
2024-03-09,52.74,24.84,24.59
2024-03-10,53.15,24.84,24.59
2024-03-11,80.06,49.56,49.23
2024-03-12,79.34,50.09,49.94
2024-03-13,81.12,50.01,49.55
2024-03-14,79.25,49.9,49.43
2024-03-15,77.04,49.56,48.84
2024-03-16,72.5,49.56,48.84
2024-03-17,75.91,49.56,48.84
2024-03-18,99.97,74.89,74.39
2024-03-19,91.63,75.31,74.58
2024-03-20,100.51,75.96,75.46
2024-03-21,96.93,76.22,75.82
2024-03-22,94.39,76.37,75.9
2024-03-23,94.81,76.37,75.9
2024-03-24,99.51,76.37,75.9
2024-03-25,128.72,101.03,100.49
2024-03-26,128.78,100.75,100.16
2024-03-27,127.8,101.63,100.5
2024-03-28,130.17,101.61,100.32
2024-03-29,128.6,101.61,100.32
2024-03-30,128.15,101.61,100.32
2024-03-31,131.25,101.61,100.32
2024-04-01,153.34,126.59,125.64
2024-04-02,143.98,125.76,124.56
2024-04-03,145.16,125.88,124.83
2024-04-04,150.72,124.33,122.93
2024-04-05,149.24,125.65,124.37
2024-04-06,151.57,125.65,124.37
2024-04-07,152.6,125.65,124.37
2024-04-08,182.66,150.85,149.56
2024-04-09,176.3,151.03,150.12
2024-04-10,180.0,149.57,148.81
2024-04-11,178.65,150.65,151.18
2024-04-12,171.35,148.6,148.77
2024-04-13,162.74,148.6,148.77
2024-04-14,167.63,148.6,148.77
2024-04-15,185.84,171.97,171.58
2024-04-16,186.97,171.66,171.59
2024-04-17,179.54,170.63,169.5
2024-04-18,186.09,170.24,168.53
2024-04-19,187.06,168.82,165.05
2024-04-20,190.43,168.82,165.05
2024-04-21,190.24,168.82,165.05
2024-04-22,221.23,195.43,191.86
2024-04-23,219.81,197.89,194.72
2024-04-24,212.76,197.75,195.38
2024-04-25,213.43,196.93,194.43
2024-04-26,211.03,198.9,197.43
2024-04-27,209.92,198.9,197.43
2024-04-28,208.9,198.9,197.43
2024-04-29,236.85,224.78,223.43
2024-04-30,224.96,221.24,219.21
