DATE,TICKER,PURCHASE_PRICE,SHARES_PURCHASED,TOTAL_VALUE
2024-03-04,QQQ,438.62,0.0567,24.87
2024-03-11,QQQ,432.07,0.05724,24.73
2024-03-18,QQQ,432.73,0.05782,25.02
2024-03-25,QQQ,439.93,0.05651,24.86
2024-04-01,QQQ,440.12,0.05705,25.11
2024-04-08,QQQ,435.81,0.05771,25.15
2024-04-15,QQQ,426.38,0.05922,25.25
2024-04-22,QQQ,414.27,0.06071,25.15
2024-04-29,QQQ,428.05,0.05885,25.19
2024-05-06,QQQ,435.47,0.05716,24.89
2024-05-13,QQQ,438.27,0.05768,25.28
2024-05-20,QQQ,449.97,0.0554,24.93
2024-05-28,QQQ,454.69,0.05566,25.31
2024-06-03,QQQ,448.21,0.05602,25.11
2024-06-10,QQQ,459.78,0.05459,25.1
2024-06-17,QQQ,479.79,0.05213,25.01
2024-06-24,QQQ,469.56,0.0539,25.31
2024-07-01,QQQ,477.44,0.0528,25.21
2024-07-08,QQQ,492.72,0.05043,24.85
2024-07-15,QQQ,491.54,0.05045,24.8
2024-07-22,QQQ,477.84,0.05192,24.81
2024-07-29,QQQ,459.59,0.05363,24.65
2024-08-05,QQQ,431.32,0.05805,25.04
2024-08-12,QQQ,447.19,0.05635,25.2
2024-08-19,QQQ,476.8,0.05308,25.31
2024-08-26,QQQ,470.92,0.05281,24.87
2024-09-03,QQQ,457.52,0.05453,24.95
2024-09-16,QQQ,468.84,0.05337,25.02
2024-09-23,QQQ,479.22,0.05167,24.76
2024-09-30,QQQ,484.21,0.05163,25.0
2024-10-07,QQQ,478.29,0.05219,24.96
2024-10-14,QQQ,493.57,0.051,25.17
2024-10-21,QQQ,491.51,0.05082,24.98
2024-10-28,QQQ,491.49,0.0507,24.92
2024-11-04,QQQ,482.17,0.05121,24.69
2024-11-11,QQQ,509.78,0.04926,25.11
2024-11-18,QQQ,496.07,0.05058,25.09
2024-11-25,QQQ,502.59,0.05012,25.19
2024-12-02,QQQ,511.22,0.04974,25.43
2024-12-09,QQQ,518.25,0.0483,25.03
2024-12-19,QQQ,510.11,0.04968,25.34
2024-12-23,QQQ,519.58,0.04867,25.29
2024-12-26,QQQ,526.26,0.04771,25.11
2025-01-06,QQQ,521.24,0.04739,24.7
2025-01-14,QQQ,501.9,0.04955,24.87
2025-01-22,QQQ,528.16,0.04769,25.19
2025-01-27,QQQ,510.97,0.04961,25.35
2025-02-03,QQQ,514.85,0.04831,24.87
2025-02-10,QQQ,525.92,0.04847,25.49
2025-02-27,QQQ,497.12,0.05045,25.08
2025-03-05,QQQ,498.85,0.05076,25.32
2025-03-10,QQQ,469.75,0.05299,24.89
2025-03-17,QQQ,479.73,0.05213,25.01
2025-03-24,QQQ,488.3,0.05087,24.84
2025-03-31,QQQ,466.66,0.05293,24.7
2025-04-07,QQQ,421.65,0.05848,24.66
2025-04-14,QQQ,455.28,0.05575,25.38
2025-04-21,QQQ,431.02,0.05763,24.84
2025-04-28,QQQ,470.13,0.05239,24.63
2025-05-05,QQQ,483.59,0.05093,24.63
2025-05-12,QQQ,505.4,0.04919,24.86
2025-05-19,QQQ,519.5,0.04864,25.27
2025-05-27,QQQ,518.71,0.04916,25.5
2025-06-02,QQQ,520.69,0.04845,25.23
2025-06-09,QQQ,528.14,0.04726,24.96
2025-06-17,QQQ,526.53,0.04794,25.24
2025-06-23,QQQ,529.68,0.04635,24.55
2025-06-30,QQQ,549.6,0.04507,24.77
2025-07-08,QQQ,550.3,0.04558,25.08
2025-07-14,QQQ,554.15,0.046,25.49
2025-07-21,QQQ,562.08,0.04469,25.12
2025-07-28,QQQ,566.04,0.04415,24.99
2025-08-04,QQQ,562.01,0.04537,25.5
2025-08-11,QQQ,570.73,0.04878,27.84
2025-08-18,QQQ,574.97,0.04369,25.12
2025-08-20,QQQ,563.81,0.0878,49.5
2025-08-25,QQQ,568.21,0.044,25.0
2025-08-28,QQQ,574.95,5e-05,0.03
2025-08-28,QQQ,574.95,0.08689,49.96
2025-08-28,QQQ,574.95,0.0798,45.88
2025-08-28,QQQ,574.95,0.0071,4.08
2025-09-04,QQQ,573.1,0.07484,42.89
2025-09-04,QQQ,573.1,0.01235,7.08
2025-09-10,QQQ,578.55,0.07645,44.23
2025-09-10,QQQ,578.55,0.00994,5.75
2025-09-16,QQQ,588.99,0.04245,25.0
2025-09-22,QQQ,600.67,0.04368,26.24
2025-09-22,QQQ,600.67,0.04175,25.08
2025-09-29,QQQ,597.21,0.04459,26.63
2025-10-06,QQQ,606.16,0.04283,25.96
2025-10-14,QQQ,596.48,0.00012,0.07
2025-10-15,QQQ,600.69,0.04162,25.0
2025-10-22,QQQ,603.95,0.04264,25.75
2025-10-28,QQQ,631.31,8e-05,0.05
2025-10-29,QQQ,634.15,0.05872,37.24
2025-11-05,QQQ,621.69,0.04021,25.0
2025-11-10,QQQ,621.64,0.04043,25.13
2025-11-14,QQQ,607.31,7e-05,0.04
2025-11-17,QQQ,602.12,0.04235,25.5
2025-11-25,QQQ,607.34,0.07617,46.26
2025-11-28,QQQ,617.67,0.00011,0.07
2025-12-09,QQQ,623.46,0.04741,29.56
2025-12-22,QQQ,618.43,0.04042,25.0
2025-12-26,QQQ,623.1,0.04133,25.75
2025-12-29,QQQ,620.09,0.04154,25.76
2026-01-02,QQQ,612.35,0.04324,26.48
2026-01-06,QQQ,622.63,0.04015,25.0
2026-01-12,QQQ,626.38,0.03991,25.0
2026-01-14,QQQ,618.77,8e-05,0.05
2026-01-20,QQQ,607.29,0.04117,25.0
2026-01-26,QQQ,624.67,0.04002,25.0
2026-01-28,QQQ,632.42,8e-05,0.05
2026-02-03,QQQ,615.74,0.04188,25.79
2026-02-09,QQQ,613.55,0.04075,25.0
2026-02-17,QQQ,600.54,0.04165,25.01
2026-02-23,QQQ,600.65,0.04164,25.01
2026-03-03,QQQ,600.82,0.04163,25.01
2026-03-09,QQQ,606.99,0.0412,25.01
2026-03-12,QQQ,596.51,0.04193,25.01
2026-03-17,QQQ,602.55,0.04151,25.01
2026-03-23,QQQ,588.0,0.04252,25.0
2026-03-30,QQQ,558.28,0.04612,25.75
2026-04-07,QQQ,588.59,0.04631,27.26
2026-04-13,QQQ,617.39,0.04051,25.01
2026-04-14,QQQ,628.6,8e-05,0.05
2026-04-21,QQQ,644.33,0.0388,25.0
2026-04-28,QQQ,657.55,6e-05,0.04
2026-05-04,QQQ,672.88,0.03717,25.01
2026-05-11,QQQ,713.29,0.03505,25.0
2026-05-18,QQQ,705.88,0.03505,24.74
2026-05-26,QQQ,730.28,0.0343,25.05
