DATE,TICKER,PURCHASE_PRICE,SHARES_PURCHASED,TOTAL_VALUE
2024-03-04,VOO,457.67,0.05434,24.87
2024-03-11,VOO,456.82,0.05414,24.73
2024-03-18,VOO,459.69,0.05443,25.02
2024-03-25,VOO,466.03,0.05334,24.86
2024-04-01,VOO,468.11,0.05364,25.11
2024-04-08,VOO,464.8,0.05411,25.15
2024-04-15,VOO,452.06,0.05586,25.25
2024-04-22,VOO,447.61,0.05619,25.15
2024-04-29,VOO,457.16,0.0551,25.19
2024-05-06,VOO,462.89,0.05377,24.89
2024-05-13,VOO,466.84,0.05415,25.28
2024-05-20,VOO,475.03,0.05248,24.93
2024-05-28,VOO,474.98,0.05329,25.31
2024-06-03,VOO,473.06,0.05308,25.11
2024-06-10,VOO,480.14,0.05228,25.1
2024-06-17,VOO,490.41,0.051,25.01
2024-06-24,VOO,487.96,0.05187,25.31
2024-07-01,VOO,490.53,0.05139,25.21
2024-07-08,VOO,499.38,0.04976,24.85
2024-07-15,VOO,505.04,0.04911,24.8
2024-07-22,VOO,498.85,0.04973,24.81
2024-07-29,VOO,489.96,0.05031,24.65
2024-08-05,VOO,465.01,0.05385,25.04
2024-08-12,VOO,479.56,0.05255,25.2
2024-08-19,VOO,503.32,0.05029,25.31
2024-08-26,VOO,504.33,0.04931,24.87
2024-09-03,VOO,496.67,0.05023,24.95
2024-09-16,VOO,506.25,0.04942,25.02
2024-09-23,VOO,513.91,0.04818,24.76
2024-09-30,VOO,517.96,0.04827,25.0
2024-10-07,VOO,512.31,0.04872,24.96
2024-10-14,VOO,527.19,0.04774,25.17
2024-10-21,VOO,526.66,0.04743,24.98
2024-10-28,VOO,524.1,0.04755,24.92
2024-11-04,VOO,514.16,0.04802,24.69
2024-11-11,VOO,540.27,0.04648,25.11
2024-11-18,VOO,530.78,0.04727,25.09
2024-11-25,VOO,539.12,0.04672,25.19
2024-12-02,VOO,544.8,0.04668,25.43
2024-12-09,VOO,545.68,0.04587,25.03
2024-12-19,VOO,529.02,0.0479,25.34
2024-12-23,VOO,538.84,0.04693,25.29
2024-12-26,VOO,544.37,0.04613,25.11
2025-01-06,VOO,539.21,0.04581,24.7
2025-01-14,VOO,527.09,0.04718,24.87
2025-01-22,VOO,549.1,0.04588,25.19
2025-01-27,VOO,542.82,0.0467,25.35
2025-02-03,VOO,541.31,0.04594,24.87
2025-02-10,VOO,547.66,0.04654,25.49
2025-02-27,VOO,529.76,0.04734,25.08
2025-03-05,VOO,528.21,0.04794,25.32
2025-03-10,VOO,507.64,0.04903,24.89
2025-03-17,VOO,513.45,0.04871,25.01
2025-03-24,VOO,521.31,0.04765,24.84
2025-03-31,VOO,507.82,0.04864,24.7
2025-04-07,VOO,458.07,0.05383,24.66
2025-04-14,VOO,489.61,0.05184,25.38
2025-04-21,VOO,466.77,0.05322,24.84
2025-04-28,VOO,500.42,0.04922,24.63
2025-05-05,VOO,511.85,0.04812,24.63
2025-05-12,VOO,529.57,0.04694,24.86
2025-05-19,VOO,540.34,0.04677,25.27
2025-05-27,VOO,536.9,0.04749,25.5
2025-06-02,VOO,538.46,0.04686,25.23
2025-06-09,VOO,544.72,0.04582,24.96
2025-06-17,VOO,542.84,0.0465,25.24
2025-06-23,VOO,546.81,0.0449,24.55
2025-06-30,VOO,563.03,0.04399,24.77
2025-07-08,VOO,565.22,0.04437,25.08
2025-07-14,VOO,569.3,0.04477,25.49
2025-07-21,VOO,572.87,0.04385,25.12
2025-07-28,VOO,580.29,0.04306,24.99
2025-08-04,VOO,575.04,0.04434,25.5
2025-08-11,VOO,579.4,0.04805,27.84
2025-08-18,VOO,586.16,0.04286,25.12
2025-08-20,VOO,581.42,0.08514,49.5
2025-08-25,VOO,585.51,0.0427,25.0
2025-08-28,VOO,591.27,5e-05,0.03
2025-08-28,VOO,591.27,0.0845,49.96
2025-08-28,VOO,591.27,0.0776,45.88
2025-08-28,VOO,591.27,0.0069,4.08
2025-09-04,VOO,591.34,0.07253,42.89
2025-09-04,VOO,591.34,0.01197,7.08
2025-09-10,VOO,594.41,0.07441,44.23
2025-09-10,VOO,594.41,0.00967,5.75
2025-09-16,VOO,601.45,0.04157,25.0
2025-09-22,VOO,609.35,0.04306,26.24
2025-09-22,VOO,609.35,0.04116,25.08
2025-09-29,VOO,606.49,0.04391,26.63
2025-10-06,VOO,613.72,0.0423,25.96
2025-10-14,VOO,605.12,0.00012,0.07
2025-10-15,VOO,607.79,0.04113,25.0
2025-10-22,VOO,610.31,0.04219,25.75
2025-10-28,VOO,627.93,8e-05,0.05
2025-10-29,VOO,628.18,0.05928,37.24
2025-11-05,VOO,619.15,0.04038,25.0
2025-11-10,VOO,622.74,0.04035,25.13
2025-11-14,VOO,614.15,7e-05,0.04
2025-11-17,VOO,608.39,0.04191,25.5
2025-11-25,VOO,616.96,0.07498,46.26
2025-11-28,VOO,624.66,0.00011,0.07
2025-12-09,VOO,624.36,0.04734,29.56
2025-12-22,VOO,627.75,0.03982,25.0
2025-12-26,VOO,632.84,0.04069,25.75
2025-12-29,VOO,630.61,0.04085,25.76
2026-01-02,VOO,626.32,0.04228,26.48
2026-01-06,VOO,634.21,0.03942,25.0
2026-01-12,VOO,637.33,0.03923,25.0
2026-01-14,VOO,632.94,8e-05,0.05
2026-01-20,VOO,621.19,0.04025,25.0
2026-01-26,VOO,635.09,0.03936,25.0
2026-01-28,VOO,637.59,8e-05,0.05
2026-02-03,VOO,632.15,0.0408,25.79
2026-02-09,VOO,636.22,0.03929,25.0
2026-02-17,VOO,626.01,0.03995,25.01
2026-02-23,VOO,625.66,0.03997,25.01
2026-03-03,VOO,623.75,0.0401,25.01
2026-03-09,VOO,621.84,0.04022,25.01
2026-03-12,VOO,610.57,0.04096,25.01
2026-03-17,VOO,614.95,0.04067,25.01
2026-03-23,VOO,602.53,0.04149,25.0
2026-03-30,VOO,580.93,0.04433,25.75
2026-04-07,VOO,606.04,0.04498,27.26
2026-04-13,VOO,630.72,0.03965,25.01
2026-04-14,VOO,638.35,8e-05,0.05
2026-04-21,VOO,647.25,0.03862,25.0
2026-04-28,VOO,654.26,6e-05,0.04
2026-05-04,VOO,660.12,0.03789,25.01
2026-05-11,VOO,679.52,0.03679,25.0
2026-05-18,VOO,678.91,0.03644,24.74
2026-05-26,VOO,690.01,0.0363,25.05
