TICKER,DATE,AMOUNT
FIX,2005-11-28,0.025
FIX,2006-03-08,0.035
FIX,2006-05-26,0.035
FIX,2006-08-29,0.035
FIX,2006-11-28,0.035
FIX,2007-03-07,0.035
FIX,2007-05-29,0.035
FIX,2007-08-29,0.035
FIX,2007-11-28,0.045
FIX,2008-03-06,0.045
FIX,2008-05-28,0.045
FIX,2008-08-27,0.045
FIX,2008-11-25,0.045
FIX,2009-03-06,0.045
FIX,2009-05-27,0.045
FIX,2009-08-27,0.05
FIX,2009-11-24,0.05
FIX,2010-03-08,0.05
FIX,2010-05-26,0.05
FIX,2010-08-27,0.05
FIX,2010-11-26,0.05
FIX,2011-03-09,0.05
FIX,2011-05-25,0.05
FIX,2011-08-24,0.05
FIX,2011-11-23,0.05
FIX,2012-03-08,0.05
FIX,2012-05-10,0.05
FIX,2012-08-09,0.05
FIX,2012-11-07,0.05
FIX,2013-03-07,0.05
FIX,2013-05-09,0.05
FIX,2013-08-08,0.055
FIX,2013-11-06,0.055
FIX,2014-03-06,0.055
FIX,2014-05-08,0.055
FIX,2014-08-08,0.055
FIX,2014-11-06,0.06
FIX,2015-03-10,0.06
FIX,2015-05-12,0.06
FIX,2015-08-12,0.065
FIX,2015-11-06,0.065
FIX,2016-03-09,0.065
FIX,2016-05-11,0.07
FIX,2016-08-10,0.07
FIX,2016-11-08,0.07
FIX,2017-03-08,0.07
FIX,2017-05-10,0.075
FIX,2017-08-10,0.075
FIX,2017-11-09,0.075
FIX,2018-03-09,0.075
FIX,2018-05-11,0.08
FIX,2018-08-10,0.085
FIX,2018-11-08,0.09
FIX,2019-03-08,0.095
FIX,2019-05-10,0.1
FIX,2019-08-09,0.1
FIX,2019-11-07,0.1
FIX,2020-03-06,0.105
FIX,2020-05-14,0.105
FIX,2020-08-13,0.105
FIX,2020-11-06,0.11
FIX,2021-03-11,0.115
FIX,2021-05-13,0.115
FIX,2021-08-12,0.12
FIX,2021-11-10,0.13
FIX,2022-03-10,0.13
FIX,2022-05-13,0.14
FIX,2022-08-17,0.14
FIX,2022-11-16,0.15
FIX,2023-03-09,0.175
FIX,2023-05-17,0.2
FIX,2023-08-16,0.225
FIX,2023-11-15,0.25
FIX,2024-03-07,0.25
FIX,2024-05-10,0.3
FIX,2024-08-12,0.3
FIX,2024-11-14,0.35
FIX,2025-03-10,0.4
FIX,2025-05-16,0.45
FIX,2025-08-14,0.5
FIX,2025-11-13,0.6
FIX,2026-03-06,0.7
FIX,2026-05-15,0.8
AVGO,2010-12-13,0.007
AVGO,2011-03-16,0.008
AVGO,2011-06-15,0.009
AVGO,2011-09-15,0.011
AVGO,2011-12-15,0.012
AVGO,2012-03-15,0.013
AVGO,2012-06-14,0.015
AVGO,2012-09-18,0.016
AVGO,2012-12-13,0.017
AVGO,2013-03-21,0.019
AVGO,2013-06-13,0.021
AVGO,2013-09-17,0.023
AVGO,2013-12-18,0.025
AVGO,2014-03-18,0.027
AVGO,2014-06-17,0.029
AVGO,2014-09-17,0.032
AVGO,2014-12-17,0.035
AVGO,2015-03-18,0.038
AVGO,2015-06-17,0.04
AVGO,2015-09-16,0.042
AVGO,2015-12-16,0.044
AVGO,2016-03-16,0.049
AVGO,2016-06-15,0.05
AVGO,2016-09-15,0.051
AVGO,2016-12-14,0.102
AVGO,2017-03-16,0.102
AVGO,2017-06-15,0.102
AVGO,2017-09-18,0.102
AVGO,2017-12-18,0.175
AVGO,2018-03-21,0.35
AVGO,2018-06-19,0.35
AVGO,2018-09-18,0.175
AVGO,2018-12-18,0.265
AVGO,2019-03-20,0.265
AVGO,2019-06-21,0.265
AVGO,2019-09-20,0.265
AVGO,2019-12-20,0.325
AVGO,2020-03-20,0.325
AVGO,2020-06-19,0.325
AVGO,2020-09-21,0.325
AVGO,2020-12-18,0.36
AVGO,2021-03-19,0.36
AVGO,2021-06-21,0.36
AVGO,2021-09-21,0.36
AVGO,2021-12-21,0.41
AVGO,2022-03-21,0.41
AVGO,2022-06-21,0.41
AVGO,2022-09-21,0.41
AVGO,2022-12-19,0.46
AVGO,2023-03-21,0.46
AVGO,2023-06-21,0.46
AVGO,2023-09-20,0.46
AVGO,2023-12-19,0.525
AVGO,2024-03-20,0.525
AVGO,2024-06-24,0.525
AVGO,2024-09-19,0.53
AVGO,2024-12-23,0.59
AVGO,2025-03-20,0.59
AVGO,2025-06-20,0.59
AVGO,2025-09-22,0.59
AVGO,2025-12-22,0.65
AVGO,2026-03-23,0.65
TSM,2004-06-14,0.082804
TSM,2005-06-13,0.308168
TSM,2006-06-20,0.376119
TSM,2007-06-08,0.444776
TSM,2008-07-16,0.495522
TSM,2009-07-15,0.453
TSM,2010-07-06,0.469
TSM,2011-06-29,0.519
TSM,2012-07-05,0.502
TSM,2013-07-03,0.502
TSM,2014-07-14,0.502
TSM,2015-06-29,0.728
TSM,2016-06-27,0.929
TSM,2017-06-26,1.159
TSM,2018-06-25,1.345
TSM,2019-06-24,1.276
TSM,2019-09-19,0.322
TSM,2019-12-19,0.41
TSM,2020-03-19,0.417
TSM,2020-06-18,0.42
TSM,2020-09-17,0.427
TSM,2020-12-17,0.442
TSM,2021-03-17,0.448
TSM,2021-06-17,0.451
TSM,2021-09-16,0.497
TSM,2021-12-16,0.496
TSM,2022-03-16,0.49
TSM,2022-06-16,0.467
TSM,2022-09-15,0.448
TSM,2022-12-15,0.451
TSM,2023-03-16,0.449
TSM,2023-06-15,0.448
TSM,2023-09-14,0.471
TSM,2023-12-14,0.479
TSM,2024-03-18,0.554
TSM,2024-06-13,0.544
TSM,2024-09-12,0.626
TSM,2024-12-12,0.616
TSM,2025-03-18,0.684
TSM,2025-06-12,0.78
TSM,2025-09-16,0.822
TSM,2025-12-11,0.835
TSM,2026-03-17,0.956
RACE,2016-05-23,0.516
RACE,2017-04-24,0.681
RACE,2018-04-23,0.872
RACE,2019-04-23,1.159
RACE,2020-04-20,1.229
RACE,2021-04-19,1.039
RACE,2022-04-19,1.469
RACE,2023-04-24,1.989
RACE,2024-04-22,2.604
RACE,2025-04-22,3.438
RACE,2026-04-20,4.254
META,2024-02-21,0.5
META,2024-06-14,0.5
META,2024-09-16,0.5
META,2024-12-16,0.5
META,2025-03-14,0.525
META,2025-06-16,0.525
META,2025-09-22,0.525
META,2025-12-15,0.525
META,2026-03-16,0.525
KNSL,2016-09-13,0.05
KNSL,2016-11-29,0.05
KNSL,2017-02-13,0.06
KNSL,2017-06-01,0.06
KNSL,2017-08-29,0.06
KNSL,2017-11-29,0.06
KNSL,2018-02-27,0.07
KNSL,2018-06-01,0.07
KNSL,2018-08-30,0.07
KNSL,2018-11-29,0.07
KNSL,2019-02-27,0.08
KNSL,2019-05-31,0.08
KNSL,2019-08-28,0.08
KNSL,2019-11-27,0.08
KNSL,2020-02-27,0.09
KNSL,2020-06-01,0.09
KNSL,2020-08-28,0.09
KNSL,2020-11-27,0.09
KNSL,2021-02-25,0.11
KNSL,2021-05-26,0.11
KNSL,2021-08-30,0.11
KNSL,2021-11-26,0.11
KNSL,2022-03-01,0.13
KNSL,2022-05-27,0.13
KNSL,2022-08-26,0.13
KNSL,2022-11-29,0.13
KNSL,2023-02-27,0.14
KNSL,2023-05-30,0.14
KNSL,2023-08-28,0.14
KNSL,2023-11-28,0.14
KNSL,2024-02-26,0.15
KNSL,2024-05-31,0.15
KNSL,2024-08-29,0.15
KNSL,2024-11-29,0.15
KNSL,2025-02-27,0.17
KNSL,2025-05-29,0.17
KNSL,2025-08-29,0.17
KNSL,2025-11-28,0.17
KNSL,2026-02-26,0.25
V,2008-08-13,0.02625
V,2008-11-12,0.02625
V,2009-02-11,0.02625
V,2009-05-13,0.02625
V,2009-08-12,0.02625
V,2009-11-12,0.03125
V,2010-02-10,0.03125
V,2010-05-12,0.03125
V,2010-08-11,0.03125
V,2010-11-17,0.0375
V,2011-02-09,0.0375
V,2011-05-18,0.0375
V,2011-08-17,0.0375
V,2011-11-16,0.055
V,2012-02-15,0.055
V,2012-05-16,0.055
V,2012-08-15,0.055
V,2012-11-14,0.0825
V,2013-02-13,0.0825
V,2013-05-15,0.0825
V,2013-08-14,0.0825
V,2013-11-13,0.1
V,2014-02-12,0.1
V,2014-05-14,0.1
V,2014-08-13,0.1
V,2014-11-12,0.12
V,2015-02-11,0.12
V,2015-05-13,0.12
V,2015-08-12,0.12
V,2015-11-10,0.14
V,2016-02-17,0.14
V,2016-05-11,0.14
V,2016-08-17,0.14
V,2016-11-16,0.165
V,2017-02-15,0.165
V,2017-05-17,0.165
V,2017-08-16,0.165
V,2017-11-16,0.195
V,2018-02-15,0.21
V,2018-05-17,0.21
V,2018-08-16,0.21
V,2018-11-15,0.25
V,2019-02-14,0.25
V,2019-05-16,0.25
V,2019-08-15,0.25
V,2019-11-14,0.3
V,2020-02-13,0.3
V,2020-05-13,0.3
V,2020-08-13,0.3
V,2020-11-12,0.32
V,2021-02-11,0.32
V,2021-05-13,0.32
V,2021-08-12,0.32
V,2021-11-10,0.375
V,2022-02-10,0.375
V,2022-05-12,0.375
V,2022-08-11,0.375
V,2022-11-09,0.45
V,2023-02-09,0.45
V,2023-05-11,0.45
V,2023-08-10,0.45
V,2023-11-08,0.52
V,2024-02-08,0.52
V,2024-05-16,0.52
V,2024-08-09,0.52
V,2024-11-12,0.59
V,2025-02-11,0.59
V,2025-05-13,0.59
V,2025-08-12,0.59
V,2025-11-12,0.67
V,2026-02-10,0.67
V,2026-05-12,0.67
HWM,2016-11-08,0.069018
HWM,2017-02-01,0.046012
HWM,2017-05-03,0.046012
HWM,2017-08-02,0.046012
HWM,2017-11-02,0.046012
HWM,2018-02-01,0.046012
HWM,2018-05-03,0.046012
HWM,2018-08-02,0.046012
HWM,2018-11-01,0.046012
HWM,2019-02-07,0.046012
HWM,2019-05-02,0.015337
HWM,2019-08-01,0.015337
HWM,2019-11-07,0.015337
HWM,2020-02-06,0.015337
HWM,2021-08-05,0.02
HWM,2021-11-04,0.02
HWM,2022-02-03,0.02
HWM,2022-05-05,0.02
HWM,2022-08-04,0.02
HWM,2022-11-03,0.04
HWM,2023-02-09,0.04
HWM,2023-05-04,0.04
HWM,2023-08-03,0.04
HWM,2023-11-09,0.05
HWM,2024-02-08,0.05
HWM,2024-05-09,0.05
HWM,2024-08-09,0.08
HWM,2024-11-08,0.08
HWM,2025-02-07,0.1
HWM,2025-05-09,0.1
HWM,2025-08-08,0.12
HWM,2025-11-07,0.12
HWM,2026-02-06,0.12
HWM,2026-05-08,0.12
GLW,1982-03-08,0.024167
GLW,1982-06-08,0.024167
GLW,1982-09-07,0.024167
GLW,1982-12-07,0.024167
GLW,1983-03-08,0.024167
GLW,1983-06-07,0.024167
GLW,1983-09-06,0.024167
GLW,1983-12-13,0.024167
GLW,1984-03-06,0.024167
GLW,1984-06-05,0.024167
GLW,1984-09-04,0.024167
GLW,1984-12-11,0.026667
GLW,1985-03-05,0.026667
GLW,1985-06-04,0.026667
GLW,1985-09-03,0.026667
GLW,1985-12-10,0.029167
GLW,1986-03-04,0.029167
GLW,1986-06-03,0.029167
GLW,1986-09-02,0.029167
GLW,1986-12-09,0.029167
GLW,1987-03-03,0.029167
GLW,1987-06-02,0.029167
GLW,1987-08-31,0.029167
GLW,1987-12-08,0.030833
GLW,1988-03-08,0.030833
GLW,1988-06-07,0.030833
GLW,1988-09-06,0.030833
GLW,1988-12-13,0.033333
GLW,1989-03-07,0.033333
GLW,1989-06-06,0.033333
GLW,1989-09-05,0.033333
GLW,1989-12-12,0.075
GLW,1990-03-06,0.0375
GLW,1990-06-05,0.0375
GLW,1990-09-04,0.0375
GLW,1990-12-11,0.041667
GLW,1991-03-05,0.041667
GLW,1991-06-04,0.041667
GLW,1991-09-03,0.041667
GLW,1991-12-10,0.1
GLW,1992-03-03,0.05
