DATE,TICKER,PURCHASE_PRICE,SHARES_PURCHASED,TOTAL_VALUE
2023-01-04,QQQ,261.03,0.07662,20.0
2023-01-09,QQQ,265.75,0.07526,20.0
2023-01-17,QQQ,276.55,0.07232,20.0
2023-01-23,QQQ,283.84,0.07046,20.0
2023-01-30,QQQ,285.13,0.07015,20.0
2023-02-06,QQQ,298.21,0.06707,20.0
2023-02-15,QQQ,303.63,0.06587,20.0
2023-02-21,QQQ,288.82,0.06925,20.0
2023-02-27,QQQ,288.73,0.06951,20.07
2023-03-06,QQQ,294.71,0.06786,20.0
2023-03-13,QQQ,285.54,0.07004,20.0
2023-03-23,QQQ,304.74,0.0656,19.99
2023-03-28,QQQ,302.15,0.06619,20.0
2023-04-03,QQQ,314.97,0.0635,20.0
2023-04-10,QQQ,312.72,0.06395,20.0
2023-04-17,QQQ,313.68,0.06376,20.0
2023-04-24,QQQ,310.83,0.06434,20.0
2023-05-01,QQQ,316.97,0.0631,20.0
2023-05-09,QQQ,316.43,0.06321,20.0
2023-05-17,QQQ,325.76,0.06143,20.01
2023-05-23,QQQ,327.96,0.06129,20.1
2023-05-30,QQQ,344.31,0.05867,20.2
2023-06-05,QQQ,349.15,0.05728,20.0
2023-06-07,QQQ,343.17,0.05828,20.0
2023-06-13,QQQ,357.38,0.05708,20.400000000000002
2023-06-20,QQQ,361.46,0.05588,20.2
2023-06-26,QQQ,352.37,0.05733,20.2
2023-07-03,QQQ,364.79,0.05551,20.25
2023-07-06,QQQ,362.01,0.0558,20.2
2023-07-11,QQQ,362.71,0.05569,20.2
2023-07-17,QQQ,376.93,0.05378,20.27
2023-07-20,QQQ,371.17,0.05442,20.2
2023-07-24,QQQ,370.65,0.0545,20.2
2023-07-27,QQQ,371.03,0.05444,20.2
2023-08-01,QQQ,377.11,0.05357,20.2
2023-08-02,QQQ,368.83,0.05477,20.2
2023-08-08,QQQ,366.48,0.05512,20.2
2023-08-14,QQQ,364.85,0.05482,20.0
2023-08-23,QQQ,363.63,0.0561,20.4
2023-08-29,QQQ,369.21,0.05477,20.22
2023-09-05,QQQ,372.46,0.05472,20.38
2023-09-11,QQQ,371.38,0.05439,20.2
2023-09-18,QQQ,365.69,0.05535,20.24
2023-09-20,QQQ,359.65,0.06053,21.77
2023-09-21,QQQ,353.06,0.05277,18.63
2023-09-25,QQQ,354.79,0.05702,20.23
2023-10-02,QQQ,356.41,0.05892,21.0
2023-10-09,QQQ,361.64,0.05807,21.0
2023-10-16,QQQ,364.45,0.05625,20.5
2023-10-24,QQQ,354.31,0.05701,20.2
2023-10-26,QQQ,339.05,0.05958,20.2
2023-11-01,QQQ,352.17,0.05963,21.0
2023-11-06,QQQ,364.26,0.06863,25.0
2023-11-13,QQQ,372.15,0.06718,25.0
2023-11-17,QQQ,380.86,0.06564,25.0
2023-11-20,QQQ,385.5,0.06485,25.0
2023-11-27,QQQ,383.95,0.06511,25.0
2023-12-04,QQQ,381.14,0.06559,25.0
2024-01-08,QQQ,400.53,0.31209,125.0
2024-02-12,QQQ,430.58,2.73821,1179.02
2025-12-15,QQQ,609.75,0.04224,25.76
2023-06-21,QQQ,356.53,0.11727,41.81
2023-08-02,QQQ,368.83,0.05401,19.92
2023-09-07,QQQ,366.54,0.05388,19.75
2023-12-11,QQQ,390.21,0.25576,99.8
2023-12-18,QQQ,402.42,0.37264,149.95999999999998
2023-12-26,QQQ,406.18,0.3075,124.9
2024-01-02,QQQ,398.19,0.50214,199.95000000000002
2024-01-02,QQQ,398.19,0.31382,124.96000000000001
2024-01-02,QQQ,398.19,0.13499,53.75
2024-01-16,QQQ,405.05,0.30596,123.93
2024-01-22,QQQ,417.12,0.29958,124.96
2024-01-29,QQQ,423.47,0.31105,131.72
2024-01-30,QQQ,420.65,2.37525,999.15
2024-02-05,QQQ,423.77,2.42971,1029.64
2024-02-13,QQQ,423.87,2.35827,999.6
2024-02-20,QQQ,422.65,1.80218,761.6899999999999
2024-02-21,QQQ,420.96,2.3775,1000.8299999999999
2024-02-26,QQQ,431.78,2.31613,1000.06
2024-03-04,QQQ,439.17,2.27835,1000.58
2024-03-11,QQQ,432.61,2.31222,1000.29
2024-03-18,QQQ,433.27,2.30798,999.98
2024-03-18,QQQ,433.27,2.30854,1000.2199999999999
2024-03-25,QQQ,440.48,2.2735,1001.4300000000001
2024-04-01,QQQ,440.67,2.27931,1004.42
2024-04-08,QQQ,436.36,2.29154,999.9399999999999
2024-04-15,QQQ,426.91,2.34223,999.9200000000001
2024-04-22,QQQ,414.79,2.41103,1000.07
2024-04-29,QQQ,428.59,2.33323,1000.0
2024-05-06,QQQ,436.02,2.30255,1003.96
2024-05-13,QQQ,438.82,2.27883,1000.0
2024-05-20,QQQ,450.54,2.21967,1000.0500000000001
2024-05-28,QQQ,455.26,2.1949,999.25
2024-06-03,QQQ,448.77,2.23818,1004.4300000000001
2024-06-10,QQQ,460.36,2.17271,1000.23
2024-06-17,QQQ,480.40,2.08193,1000.16
2024-06-24,QQQ,470.15,2.12539,999.25
2024-07-01,QQQ,478.04,2.10049,1004.1200000000001
2024-07-08,QQQ,493.34,2.02686,999.93
2024-07-15,QQQ,492.16,2.03192,1000.03
2024-07-17,QQQ,477.90,2.09232,999.92
2024-07-22,QQQ,478.44,2.09008,999.98
2024-07-30,QQQ,453.85,2.2036,1000.1
2024-08-05,QQQ,431.87,2.32401,1003.67
2024-08-12,QQQ,447.75,2.23343,1000.02
2024-08-19,QQQ,477.40,2.09384,999.6
2024-08-26,QQQ,471.52,2.12148,1000.32
2024-09-10,QQQ,454.97,2.2063,1003.8
2024-09-16,QQQ,469.43,2.13018,999.97
2024-09-23,QQQ,479.83,2.08353,999.74
2024-09-30,QQQ,484.83,2.0632,1000.3
2024-10-07,QQQ,478.90,2.09534,1003.4599999999999
2024-10-14,QQQ,494.19,2.02351,1000.0
2024-10-21,QQQ,492.13,2.03191,999.96
2024-10-28,QQQ,492.11,2.03181,999.87
2024-11-04,QQQ,482.78,2.08041,1004.3800000000001
2024-11-11,QQQ,510.42,1.96669,1003.8399999999999
2024-11-18,QQQ,496.70,2.51967,1251.52
2024-11-26,QQQ,505.92,0.19762,99.98
2024-11-26,QQQ,505.92,1.97711,1000.26
2024-12-02,QQQ,511.86,0.19527,99.95
2024-12-02,QQQ,511.86,1.96978,1008.25
2024-12-09,QQQ,518.91,1.92638,999.62
2024-12-10,QQQ,517.14,0.19335,99.99
2024-12-16,QQQ,534.59,0.191,102.11000000000001
2024-12-16,QQQ,534.59,1.87306,1001.32
2024-12-23,QQQ,520.23,0.19226,100.02000000000001
2024-12-23,QQQ,520.23,1.9219,999.8299999999999
2024-12-27,QQQ,519.92,0.1923,99.98
2024-12-30,QQQ,513.01,1.94998,1000.3599999999999
2025-01-06,QQQ,521.89,1.92964,1007.06
2025-01-06,QQQ,521.89,0.19134,99.86
2025-01-14,QQQ,502.53,2.003,1006.5699999999999
2025-01-16,QQQ,510.49,0.19677,100.45
2025-01-22,QQQ,528.83,0.18906,99.97999999999999
2025-01-22,QQQ,528.83,1.89165,1000.36
2025-01-27,QQQ,511.62,1.95434,999.88
2025-01-28,QQQ,519.18,0.19265,100.02000000000001
2025-02-03,QQQ,515.50,1.94708,1003.72
2025-02-06,QQQ,526.93,0.18984,100.03
2025-02-10,QQQ,526.58,1.90201,1001.5600000000001
2025-02-11,QQQ,525.33,0.19026,99.95000000000002
2025-02-18,QQQ,536.65,0.18628,99.97
2025-02-18,QQQ,536.65,1.86771,1002.3100000000001
2025-02-28,QQQ,505.61,1.98637,1004.33
2025-02-28,QQQ,505.61,0.19831,100.27
2025-03-06,QQQ,485.74,2.07843,1009.5799999999999
2025-03-07,QQQ,489.31,0.20437,100.0
2025-03-11,QQQ,469.22,0.21303,99.96
2025-03-11,QQQ,469.22,2.13156,1000.17
2025-03-17,QQQ,480.33,0.20811,99.96000000000001
2025-03-17,QQQ,480.33,2.08404,1001.03
2025-03-24,QQQ,488.91,0.20372,99.6
2025-03-24,QQQ,488.91,2.04528,999.96
2025-03-31,QQQ,467.25,2.15388,1006.4
2025-04-07,QQQ,422.18,0.23686,100.0
2025-04-07,QQQ,422.18,2.3765,1003.31
2025-04-14,QQQ,455.85,2.21507,1009.74
2025-04-21,QQQ,431.57,0.33114,142.91
2025-04-21,QQQ,431.57,2.31728,1000.07
2025-04-28,QQQ,470.73,2.12397,999.8199999999999
2025-05-06,QQQ,479.70,2.09239,1003.72
2025-05-12,QQQ,506.04,1.99644,1010.28
2025-05-19,QQQ,520.15,1.92806,1002.88
2025-05-27,QQQ,519.36,1.92738,1001.0
2025-06-02,QQQ,521.35,1.9348,1008.71
2025-06-04,QQQ,526.89,0.19017,100.2
2025-06-09,QQQ,528.81,1.89876,1004.08
2025-06-17,QQQ,527.20,0.18964,99.98
2025-06-17,QQQ,527.20,1.8989,1001.1
2025-06-24,QQQ,538.46,1.85724,1000.05
2025-06-30,QQQ,550.29,1.82464,1004.0799999999999
2025-07-01,QQQ,545.65,0.18314,99.92999999999999
2025-07-02,QQQ,549.45,0.1825,100.27
2025-07-08,QQQ,550.99,1.82013,1002.87
2025-07-14,QQQ,554.85,0.18033,100.05999999999999
2025-07-14,QQQ,554.85,1.82228,1011.0899999999999
2025-07-21,QQQ,562.79,1.77679,999.96
2025-07-28,QQQ,566.75,1.76446,1000.01
2025-08-05,QQQ,558.90,1.79482,1003.12
2025-08-11,QQQ,571.45,1.76949,1011.17
2025-08-19,QQQ,567.89,1.76539,1002.5500000000001
2025-08-25,QQQ,568.93,1.75777,1000.05
2025-09-02,QQQ,564.24,1.7857,1007.56
2025-09-08,QQQ,577.46,1.73713,1003.12
2025-09-15,QQQ,590.23,1.69628,1001.2
2025-09-22,QQQ,601.43,1.66304,1000.2
2025-09-29,QQQ,597.96,1.6721,999.8499999999999
2025-10-13,QQQ,601.24,1.67858,1009.23
2025-10-20,QQQ,610.75,1.63737,1000.02
2025-10-27,QQQ,627.28,1.59803,1002.4100000000001
2025-11-03,QQQ,631.27,1.59202,1005.0
2025-11-10,QQQ,622.43,1.62568,1011.87
2025-11-17,QQQ,602.88,1.66504,1003.82
2025-11-25,QQQ,608.11,1.64447,1000.0200000000001
2025-12-09,QQQ,624.25,1.61562,1008.55
2025-12-15,QQQ,609.75,1.6464,1003.89
2025-12-22,QQQ,619.21,1.61642,1000.9000000000001
2025-12-29,QQQ,620.87,1.61111,1000.29
2026-01-05,QQQ,617.99,1.62866,1006.5
2026-01-12,QQQ,627.17,1.61611,1013.5799999999999
2026-01-20,QQQ,608.06,1.64464,1000.04
2026-01-26,QQQ,625.46,1.59866,999.9
2026-02-02,QQQ,626.14,1.60598,1005.5699999999999
2026-02-09,QQQ,614.32,1.63355,1003.52
2026-02-17,QQQ,601.30,1.66701,1002.37
2026-02-23,QQQ,601.41,1.68041,1010.62
2026-03-03,QQQ,601.58,1.68254,1012.18
2026-03-10,QQQ,607.77,1.56533,951.36
2026-03-16,QQQ,600.38,1.70532,1023.84
2026-03-24,QQQ,585.37,1.78632,1045.66
2026-03-31,QQQ,577.18,1.77728,1025.81
2026-04-07,QQQ,588.59,1.69898,1000.0
2026-04-13,QQQ,617.39,1.61961,999.93
2026-04-21,QQQ,644.33,1.55287,1000.56
2026-04-27,QQQ,664.23,1.50531,999.87
2026-05-04,QQQ,672.88,1.48615,1000.0
2026-05-11,QQQ,713.29,1.40208,1000.09
2026-05-19,QQQ,701.53,1.42543,999.98
2026-05-26,QQQ,730.28,1.50627,1100.0
