DATE,TICKER,PURCHASE_PRICE,SHARES_PURCHASED,TOTAL_VALUE
2023-01-04,VOO,338.27,0.05912,20.0
2023-01-09,VOO,341.93,0.05849,20.0
2023-01-17,VOO,350.89,0.057,20.0
2023-01-23,VOO,353.26,0.05662,20.0
2023-01-30,VOO,353.33,0.0566,20.0
2023-02-06,VOO,361.44,0.05533,20.0
2023-02-15,VOO,365.11,0.05478,20.0
2023-02-21,VOO,351.97,0.05682,20.0
2023-02-27,VOO,350.72,0.05723,20.07
2023-03-06,VOO,356.71,0.05607,20.0
2023-03-13,VOO,339.77,0.05886,20.0
2023-03-23,VOO,347.99,0.05744,19.99
2023-03-28,VOO,350.27,0.0571,20.0
2023-04-03,VOO,363.8,0.05498,20.0
2023-04-10,VOO,362.64,0.05515,20.0
2023-04-17,VOO,366.42,0.05458,20.0
2023-04-24,VOO,365.27,0.05475,20.0
2023-05-01,VOO,367.87,0.05437,20.0
2023-05-09,VOO,363.78,0.05498,20.0
2023-05-17,VOO,367.54,0.05444,20.01
2023-05-23,VOO,366.61,0.05483,20.1
2023-05-30,VOO,371.92,0.05431,20.2
2023-06-05,VOO,378.19,0.05288,20.0
2023-06-07,VOO,377.73,0.05295,20.0
2023-06-13,VOO,386.66,0.05276,20.400000000000002
2023-06-20,VOO,388.67,0.05197,20.2
2023-06-26,VOO,383.45,0.05268,20.2
2023-07-03,VOO,394.73,0.0513,20.25
2023-07-06,VOO,390.64,0.05171,20.2
2023-07-11,VOO,393.28,0.05136,20.2
2023-07-17,VOO,400.68,0.05059,20.27
2023-07-20,VOO,401.94,0.05026,20.2
2023-07-24,VOO,403.7,0.05004,20.2
2023-07-27,VOO,402.24,0.05022,20.2
2023-08-01,VOO,405.68,0.04979,20.2
2023-08-02,VOO,400.06,0.05049,20.2
2023-08-08,VOO,398.82,0.05065,20.2
2023-08-14,VOO,398.27,0.05022,20.0
2023-08-23,VOO,393.65,0.05182,20.4
2023-08-29,VOO,399.16,0.05066,20.22
2023-09-05,VOO,399.41,0.05103,20.38
2023-09-11,VOO,398.62,0.05067,20.2
2023-09-18,VOO,395.82,0.05113,20.24
2023-09-20,VOO,391.33,0.05563,21.77
2023-09-21,VOO,384.92,0.0484,18.63
2023-09-25,VOO,385.59,0.05247,20.23
2023-10-02,VOO,381.29,0.05508,21.0
2023-10-09,VOO,385.68,0.05445,21.0
2023-10-16,VOO,388.96,0.0527,20.5
2023-10-24,VOO,377.92,0.05345,20.2
2023-10-26,VOO,368.02,0.05489,20.2
