DATE,MAIN,VOO,QQQ
2020-01-21,191.05,183.56,183.33
2020-01-22,192.36,183.61,183.81
2020-01-23,194.14,183.79,184.4
2020-01-24,189.1,182.11,182.85
2020-01-27,177.41,179.22,179.08
2020-01-28,185.66,181.16,181.83
2020-01-29,186.33,180.98,182.12
2020-01-30,188.43,181.55,182.77
2020-01-31,179.17,178.29,179.87
2020-02-03,187.4,179.59,182.59
2020-02-04,200.2,182.36,186.77
2020-02-05,202.52,184.42,187.38
2020-02-06,207.45,185.04,189.0
2020-02-07,204.77,184.1,188.19
2020-02-10,212.16,185.42,190.46
2020-02-11,212.31,185.76,190.5
2020-02-12,218.53,186.96,192.35
2020-02-13,217.69,186.77,192.11
2020-02-14,219.16,187.09,192.66
2020-02-18,219.55,186.58,192.73
2020-02-19,225.9,187.47,194.58
2020-02-20,219.47,186.74,192.77
2020-02-21,206.92,184.8,189.07
2020-02-24,183.08,178.62,181.78
2020-02-25,168.27,173.26,176.83
2020-02-26,170.58,172.49,177.75
2020-02-27,145.08,164.85,168.84
2020-02-28,147.33,163.85,168.98
2020-03-02,167.44,171.16,177.7
2020-03-03,151.68,166.44,172.0
2020-03-04,170.08,173.34,179.17
2020-03-05,155.16,167.53,173.73
2020-03-06,147.03,164.72,170.8
2020-03-09,117.16,152.01,158.93
2020-03-10,135.39,160.59,167.59
2020-03-11,117.98,152.67,160.29
2020-03-12,85.64,137.98,145.59
2020-03-13,108.76,150.8,157.92
2020-03-16,71.27,133.19,139.01
2020-03-17,82.89,141.86,149.55
2020-03-18,75.22,134.14,145.0
2020-03-19,76.96,134.26,145.87
2020-03-20,67.95,128.44,140.16
2020-03-23,68.16,124.52,140.57
2020-03-24,83.35,136.32,151.43
2020-03-25,81.42,138.06,150.31
2020-03-26,94.68,146.31,158.21
2020-03-27,84.84,141.84,152.78
2020-03-30,93.76,146.4,158.32
2020-03-31,91.16,144.24,156.97
2020-04-01,79.85,137.78,150.32
2020-04-02,84.57,140.98,153.36
2020-04-03,81.17,138.91,151.19
2020-04-06,98.16,148.31,161.98
2020-04-07,97.97,148.39,161.91
2020-04-08,104.22,153.4,165.34
2020-04-09,104.61,155.66,165.58
2020-04-13,108.24,154.16,167.37
2020-04-14,122.29,158.84,174.63
2020-04-15,118.23,155.4,172.63
2020-04-16,124.56,156.18,175.78
2020-04-17,127.68,160.47,177.45
2020-04-20,123.55,157.59,175.36
2020-04-21,109.89,152.8,168.9
2020-04-22,119.61,156.15,173.9
2020-04-23,118.82,156.12,173.53
2020-04-24,124.56,158.37,176.26
2020-04-27,126.99,160.65,177.68
2020-04-28,120.12,159.91,174.34
2020-04-29,132.62,164.01,180.51
2020-04-30,133.5,162.59,180.43
2020-05-01,121.52,158.18,175.36
2020-05-04,125.81,158.67,177.4
2020-05-05,129.83,160.13,179.4
2020-05-06,132.39,159.05,180.51
2020-05-07,137.56,160.93,182.83
2020-05-08,143.1,163.6,185.33
2020-05-11,146.66,163.63,186.98
2020-05-12,137.94,160.35,183.07
2020-05-13,132.71,157.52,180.79
2020-05-14,137.12,159.41,182.84
2020-05-15,139.47,160.13,184.02
2020-05-18,147.54,165.0,187.44
2020-05-19,146.41,163.45,186.97
2020-05-20,154.99,166.1,190.7
2020-05-21,150.22,164.91,188.63
2020-05-22,151.58,165.28,189.28
2020-05-26,150.95,167.4,188.77
2020-05-27,153.07,169.82,189.8
2020-05-28,152.1,169.49,189.55
2020-05-29,158.37,170.25,192.32
2020-06-01,160.33,170.99,192.9
2020-06-02,163.52,172.39,194.19
2020-06-03,165.74,174.65,195.06
2020-06-04,162.37,174.21,193.7
2020-06-05,172.0,178.65,197.53
2020-06-08,175.82,180.8,199.06
2020-06-09,179.75,179.52,200.5
2020-06-10,186.23,178.41,202.9
2020-06-11,158.81,168.17,192.87
2020-06-12,162.26,170.19,194.4
2020-06-15,167.98,171.73,196.76
2020-06-16,176.86,175.08,200.13
2020-06-17,178.58,174.28,200.76
2020-06-18,179.96,174.43,201.31
2020-06-19,179.71,173.41,201.27
2020-06-22,186.1,174.56,204.05
2020-06-23,190.96,175.34,205.78
2020-06-24,179.71,170.88,201.55
2020-06-25,184.47,172.68,203.46
2020-06-26,171.21,168.65,198.67
2020-06-29,176.68,172.04,200.83
2020-06-30,186.85,174.32,204.75
