DATE,TICKER,PURCHASE_PRICE,SHARES_PURCHASED,TOTAL_VALUE
2020-08-17,TQQQ,32.77,8.0,262.16
2020-01-21,TQQQ,91.78,2.0,183.56
2021-03-08,TQQQ,41.76,6.0,250.56
2021-05-04,TQQQ,49.04,2.0,98.08
2021-06-09,TQQQ,53.09,2.0,106.18
2021-07-09,TQQQ,63.17,4.0,252.68
2021-07-13,TQQQ,66.91,2.0,133.82
2021-08-17,TQQQ,66.19,4.0,264.76
2021-09-09,TQQQ,75.47,4.0,301.88
2021-10-13,TQQQ,62.45,2.0,124.9
2021-11-22,TQQQ,88.63,2.0,177.26
2021-12-15,TQQQ,75.85,2.0,151.7
2022-01-13,TQQQ,72.67,2.0,145.34
2022-02-07,TQQQ,57.86,3.0,173.58
2022-03-08,TQQQ,41.4,2.0,82.8
2022-04-14,TQQQ,47.86,2.0,95.72
2022-05-03,TQQQ,38.19,2.0,76.38
2022-06-03,TQQQ,32.2,20.0,644.0
2022-06-17,TQQQ,22.5,4.0,90.0
2022-08-12,TQQQ,37.43,5.0,187.15
2022-08-23,TQQQ,32.76,2.0,65.52
2022-09-12,TQQQ,30.53,1.0,30.53
2022-09-28,TQQQ,21.69,7.0,151.83
2022-10-28,TQQQ,21.13,8.0,169.04
2022-11-10,TQQQ,20.66,9.0,185.94
2022-12-19,TQQQ,19.08,3.0,57.24
2023-01-09,TQQQ,18.55,3.0,55.65
2023-02-02,TQQQ,25.98,1.0,25.98
2023-03-03,TQQQ,23.42,2.0,46.84
2023-03-06,TQQQ,24.19,4.0,96.76
2023-04-04,TQQQ,27.84,3.017,83.99
2023-04-28,TQQQ,27.56,1.164,32.08
2023-05-22,TQQQ,32.02,2.541,81.36
2023-05-26,TQQQ,34.73,0.651,22.61
2023-06-08,TQQQ,35.16,2.342,82.34
2023-06-16,TQQQ,41.67,0.321,13.38
2023-06-28,TQQQ,39.14,0.427,16.71
2023-07-11,TQQQ,39.9,2.19,87.38
2023-08-03,TQQQ,42.04,2.877,120.95
2023-08-18,TQQQ,36.05,3.069,110.64
2023-09-15,TQQQ,39.95,2.127,84.97
2023-10-10,TQQQ,38.88,2.862,111.27
2023-11-07,TQQQ,38.94,3.432,133.64
2023-12-04,TQQQ,42.22,3.978,167.95
2024-01-02,TQQQ,47.76,3.56,170.03
2024-01-23,TQQQ,54.85,1.025,56.22
2024-02-01,TQQQ,54.04,0.944,51.01
2024-02-09,TQQQ,59.06,4.097,241.97
2024-02-13,TQQQ,56.54,1.541,87.13
2024-03-04,TQQQ,62.85,1.274,80.07
2024-03-05,TQQQ,59.13,4.81,284.42
2024-04-01,TQQQ,62.12,0.578,35.91
2024-04-12,TQQQ,58.55,0.97,56.79
2024-04-22,TQQQ,50.33,1.523,76.65
2024-05-13,TQQQ,59.48,1.163,69.18
2024-05-21,TQQQ,64.16,1.784,114.46
2024-06-13,TQQQ,73.23,0.752,55.07
2024-07-03,TQQQ,78.98,1.288,101.73
2024-07-05,TQQQ,81.26,1.083,88.0
2024-07-22,TQQQ,74.07,1.346,99.7
2024-08-15,TQQQ,67.98,0.956,64.99
2024-09-03,TQQQ,64.13,0.482,30.91
2024-09-06,TQQQ,57.44,1.742,100.06
2024-09-09,TQQQ,58.98,0.943,55.62
2024-09-25,TQQQ,71.61,1.893,135.56
2024-10-08,TQQQ,72.01,2.943,211.93
2024-10-21,TQQQ,74.22,0.47,34.88
2024-10-23,TQQQ,71.36,1.556,111.04
2024-11-08,TQQQ,82.06,1.887,154.85
2024-11-21,TQQQ,78.19,1.28,100.08
2024-11-25,TQQQ,78.0,1.509,117.7
2024-12-02,TQQQ,82.16,0.364,29.91
2024-12-10,TQQQ,85.41,1.772,151.35
2024-12-19,TQQQ,82.85,2.638,218.56
2025-01-06,TQQQ,86.68,0.629,54.52
2025-01-27,TQQQ,78.54,1.273,99.98
2025-01-28,TQQQ,81.09,2.083,168.91
2025-02-06,TQQQ,84.65,1.497,126.72
2025-02-18,TQQQ,89.93,0.595,53.51
2025-03-07,TQQQ,63.46,3.011,191.08
2025-03-11,TQQQ,60.01,1.666,99.98
2025-03-17,TQQQ,63.22,2.61,165.0
2025-03-18,TQQQ,59.97,2.754,165.16
2025-05-05,TQQQ,58.0,4.539,263.26
2025-05-23,TQQQ,66.35,0.677,44.92
2025-05-27,TQQQ,69.92,1.093,76.42
2025-06-17,TQQQ,75.05,0.615,46.16
2025-08-20,TQQQ,87.1,1.625,141.54
2025-09-04,TQQQ,90.28,0.417,37.65
2025-09-30,TQQQ,101.7,1.75,177.97
2025-10-16,TQQQ,101.26,0.421,42.63
2025-11-10,TQQQ,112.17,1.583,177.57
2025-12-08,TQQQ,55.48,3.65,202.5
2024-03-11,TQQQ,59.38,0.42789,25.41
2024-04-29,TQQQ,55.78,0.01918,1.07
2024-11-05,TQQQ,73.17,1.4151,103.54
2025-07-28,TQQQ,89.58,0.05894,5.28
2025-10-15,TQQQ,103.43,0.14822,15.33
2025-10-30,TQQQ,118.18,0.21789,25.75
2025-11-07,TQQQ,102.09,0.57792,59.0
2025-11-25,TQQQ,50.18,0.49825,25.0
2025-12-22,TQQQ,54.31,2.35504,127.9
2026-01-06,TQQQ,54.25,1.45862,79.13
2026-01-12,TQQQ,56.12,1.01534,56.98
2026-01-20,TQQQ,52.44,0.68669,36.01
2026-01-26,TQQQ,55.5,0.75265,41.77
2026-02-09,TQQQ,51.92,1.03351,53.66
2026-02-23,TQQQ,49.06,3.22144,158.04
2026-03-03,TQQQ,47.68,0.50568,24.11
2025-07-01,QLD,115.88,0.415,48.09
2025-07-08,QLD,117.58,0.827,97.24
2025-08-04,QLD,121.29,0.369,44.76
2025-08-11,QLD,127.04,0.899,114.21
2025-08-28,QLD,126.76,0.444,56.28
2025-09-16,QLD,133.43,0.877,117.02
2026-03-12,TQQQ,47.36,2.20676,104.51
2026-03-16,TQQQ,47.83,0.14845,7.1
2026-03-24,TQQQ,44.08,1.08088,47.65
2026-04-13,TQQQ,49.25,0.76089,37.47
2026-04-21,TQQQ,58.7,0.45162,26.51
2026-04-27,TQQQ,62.24,0.59675,37.14
2026-05-04,TQQQ,65.94,0.46666,30.77
2026-05-11,QLD,92.1,0.14311,13.18
2026-05-19,QLD,89.36,0.8502,75.97
