DATE,TICKER,PURCHASE_PRICE,SHARES_PURCHASED,TOTAL_VALUE
2020-08-17,QQQ,266.69,0.98301,262.16
2020-01-21,QQQ,215.45,0.85198,183.56
2021-03-08,QQQ,291.07,0.86082,250.56
2021-05-04,QQQ,320.78,0.30575,98.08
2021-06-09,QQQ,327.29,0.32442,106.18
2021-07-09,QQQ,351.18,0.71952,252.68
2021-07-13,QQQ,352.56,0.37957,133.82
2021-08-17,QQQ,355.78,0.74417,264.76
2021-09-09,QQQ,369.14,0.81779,301.88
2021-10-13,QQQ,350.59,0.35626,124.9
2021-11-22,QQQ,388.86,0.45585,177.26
2021-12-15,QQQ,386.67,0.39232,151.7
2022-01-13,QQQ,368.26,0.39467,145.34
2022-02-07,QQQ,346.29,0.50126,173.58
2022-03-08,QQQ,315.3,0.26261,82.8
2022-04-14,QQQ,330.41,0.2897,95.72
2022-05-03,QQQ,311.27,0.24538,76.38
2022-06-03,QQQ,298.95,2.15421,644.0
2022-06-17,QQQ,268.18,0.3356,90.0
2022-08-12,QQQ,323.18,0.57909,187.15
2022-08-23,QQQ,307.25,0.21325,65.52
2022-09-12,QQQ,303.96,0.10044,30.53
2022-09-28,QQQ,274.33,0.55346,151.83
2022-10-28,QQQ,275.58,0.6134,169.04
2022-11-10,QQQ,277.08,0.67107,185.94
2022-12-19,QQQ,264.97,0.21602,57.24
2023-01-09,QQQ,265.75,0.20941,55.65
2023-02-02,QQQ,306.2,0.08485,25.98
2023-03-03,QQQ,294.37,0.15912,46.84
2023-03-06,QQQ,294.71,0.32832,96.76
2023-04-04,QQQ,313.90,0.26757,83.99
2023-04-28,QQQ,317.34,0.10109,32.08
2023-05-22,QQQ,332.17,0.24493,81.36000000000001
2023-05-26,QQQ,342.76,0.06596,22.61
2023-06-08,QQQ,347.43,0.237,82.34
2023-06-16,QQQ,361.97,0.03696,13.38
2023-06-28,QQQ,359.13,0.04653,16.71
2023-07-11,QQQ,362.71,0.24091,87.38
2023-08-03,QQQ,368.24,0.32848,120.96000000000001
2023-08-18,QQQ,352.82,0.31359,110.64
2023-09-15,QQQ,365.31,0.2326,84.97
2023-10-10,QQQ,363.65,0.30598,111.27000000000001
2023-11-07,QQQ,367.70,0.36347,133.64999999999998
2023-12-04,QQQ,381.14,0.44065,167.95
2024-01-02,QQQ,398.19,0.42701,170.03
2024-01-23,QQQ,418.85,0.13422,56.22
2024-02-01,QQQ,417.27,0.12225,51.01
2024-02-09,QQQ,432.28,0.55976,241.97
2024-02-13,QQQ,423.87,0.20556,87.13
2024-03-04,QQQ,439.17,0.18232,80.07
2024-03-05,QQQ,431.29,0.65946,284.42
2024-04-01,QQQ,440.67,0.08149,35.91
2024-04-12,QQQ,434.06,0.13083,56.79
2024-04-22,QQQ,414.79,0.18479,76.65
2024-05-13,QQQ,438.82,0.15765,69.17999999999999
2024-05-21,QQQ,451.42,0.25356,114.46
2024-06-13,QQQ,472.14,0.11664,55.07
2024-07-03,QQQ,487.09,0.20884,101.72
2024-07-05,QQQ,492.17,0.1788,88.0
2024-07-22,QQQ,478.44,0.20839,99.69999999999999
2024-08-15,QQQ,470.6,0.1381,64.99
2024-09-03,QQQ,458.1,0.06747,30.91
2024-09-06,QQQ,445.08,0.2248,100.05
2024-09-09,QQQ,450.81,0.12338,55.62
2024-09-25,QQQ,482.59,0.28092,135.57
2024-10-08,QQQ,486.05,0.43603,211.93
2024-10-21,QQQ,492.13,0.07088,34.88
2024-10-23,QQQ,485.11,0.2289,111.03999999999999
2024-11-08,QQQ,510.72,0.3032,154.85000000000002
2024-11-21,QQQ,501.62,0.19951,100.08
2024-11-25,QQQ,503.22,0.23389,117.7
2024-12-02,QQQ,511.86,0.05843,29.91
2024-12-10,QQQ,517.14,0.29267,151.35
2024-12-19,QQQ,510.75,0.42791,218.56
2025-01-06,QQQ,521.89,0.10447,54.52
2025-01-27,QQQ,511.62,0.19542,99.98
2025-01-28,QQQ,519.18,0.32534,168.91
2025-02-06,QQQ,526.93,0.24051,126.73
2025-02-18,QQQ,536.65,0.09971,53.51
2025-03-07,QQQ,489.31,0.39051,191.07999999999998
2025-03-11,QQQ,469.22,0.21307,99.97999999999999
2025-03-17,QQQ,480.33,0.34352,165.0
2025-03-18,QQQ,472.15,0.3498,165.16
2025-05-05,QQQ,484.20,0.5437,263.26
2025-05-23,QQQ,507.43,0.08852,44.92
2025-05-27,QQQ,519.36,0.14715,76.42
2025-06-17,QQQ,527.2,0.08756,46.16
2025-08-20,QQQ,564.52,0.25073,141.54
2025-09-04,QQQ,573.82,0.06561,37.65
2025-09-30,QQQ,599.60,0.29683,177.98000000000002
2025-10-16,QQQ,599.22,0.07114,42.63
2025-11-10,QQQ,622.43,0.28529,177.57
2025-12-08,QQQ,623.48,0.32479,202.5
2024-03-11,QQQ,432.61,0.05874,25.41
2024-04-29,QQQ,428.59,0.0025,1.07
2024-11-05,QQQ,488.94,0.21178,103.55
2025-07-28,QQQ,566.75,0.00932,5.28
2025-10-15,QQQ,601.45,0.02549,15.33
2025-10-30,QQQ,625.24,0.04118,25.75
2025-11-07,QQQ,608.96,0.09689,59.0
2025-11-25,QQQ,608.11,0.04111,25.0
2025-12-22,QQQ,619.21,0.20656,127.9
2026-01-06,QQQ,623.42,0.12693,79.13
2026-01-12,QQQ,627.17,0.09085,56.98
2026-01-20,QQQ,608.06,0.05922,36.01
2026-01-26,QQQ,625.46,0.06678,41.77
2026-02-09,QQQ,614.32,0.08735,53.66
2026-02-23,QQQ,601.41,0.26278,158.04
2026-03-03,QQQ,601.58,0.04008,24.11
2025-07-01,QQQ,545.65,0.08813,48.09
2025-07-08,QQQ,550.99,0.17648,97.24
2025-08-04,QQQ,562.72,0.07954,44.76
2025-08-11,QQQ,571.45,0.19986,114.21
2025-08-28,QQQ,575.67,0.09776,56.28
2025-09-16,QQQ,589.74,0.19843,117.02
2026-03-12,QQQ,597.26,0.17498,104.51
2026-03-16,QQQ,600.38,0.01183,7.1
2026-03-24,QQQ,585.66,0.08136,47.65
2026-04-13,QQQ,617.39,0.06069,37.47
2026-04-21,QQQ,644.33,0.04114,26.51
2026-04-27,QQQ,664.23,0.05591,37.14
2026-05-04,QQQ,672.88,0.04573,30.77
2026-05-11,QQQ,713.29,0.01848,13.18
2026-05-19,QQQ,701.53,0.10829,75.97
