DATE,TICKER,PURCHASE_PRICE,SHARES_PURCHASED,TOTAL_VALUE
2020-08-17,VOO,286.63,0.91463,262.16
2020-01-21,VOO,278.25,0.65969,183.56
2021-03-08,VOO,326.68,0.76699,250.56
2021-05-04,VOO,356.91,0.2748,98.08
2021-06-09,VOO,362.07,0.29326,106.18
2021-07-09,VOO,375.25,0.67336,252.68
2021-07-13,VOO,375.33,0.35654,133.82
2021-08-17,VOO,382.62,0.69197,264.76
2021-09-09,VOO,386.87,0.78031,301.88
2021-10-13,VOO,376.17,0.33203,124.9
2021-11-22,VOO,404.26,0.43848,177.26
2021-12-15,VOO,406.93,0.37279,151.7
2022-01-13,VOO,403.09,0.36056,145.34
2022-02-07,VOO,388.04,0.44733,173.58
2022-03-08,VOO,361.18,0.22925,82.8
2022-04-14,VOO,381.17,0.25112,95.72
2022-05-03,VOO,362.43,0.21074,76.38
2022-06-03,VOO,357.42,1.8018,644.0
2022-06-17,VOO,320.02,0.28123,90.0
2022-08-12,VOO,373.36,0.50126,187.15
2022-08-23,VOO,360.4,0.1818,65.52
2022-09-12,VOO,359.28,0.08498,30.53
2022-09-28,VOO,325.16,0.46694,151.83
2022-10-28,VOO,341.3,0.49528,169.04
2022-11-10,VOO,346.38,0.53681,185.94
2022-12-19,VOO,335.03,0.17085,57.24
2023-01-09,VOO,341.93,0.16275,55.65
2023-02-02,VOO,367.47,0.0707,25.98
2023-03-03,VOO,356.28,0.13147,46.84
2023-03-06,VOO,356.71,0.27126,96.76
2023-04-04,VOO,361.74,0.23218,83.99
2023-04-28,VOO,368.12,0.08715,32.08
2023-05-22,VOO,370.75,0.21945,81.36000000000001
2023-05-26,VOO,371.8,0.06081,22.61
2023-06-08,VOO,379.99,0.21669,82.34
2023-06-16,VOO,390.48,0.03427,13.38
2023-06-28,VOO,387.87,0.04308,16.71
2023-07-11,VOO,393.28,0.22218,87.38
2023-08-03,VOO,398.93,0.30321,120.96000000000001
2023-08-18,VOO,387.99,0.28516,110.64
2023-09-15,VOO,395.39,0.2149,84.97
2023-10-10,VOO,387.67,0.28702,111.27000000000001
